x_id,choice,outcome,subjID
62d17e24b21b3d098001bf7c0,2,1,pu348kGy
62d17e24b21b3d098001bf7c1,2,0,pu348kGy
62d17e24b21b3d098001bf7c2,2,0,pu348kGy
62d17e24b21b3d098001bf7c3,2,1,pu348kGy
62d17e24b21b3d098001bf7c4,2,0,pu348kGy
62d17e24b21b3d098001bf7c5,2,0,pu348kGy
62d17e24b21b3d098001bf7c6,2,0,pu348kGy
62d17e24b21b3d098001bf7c7,2,1,pu348kGy
62d17e24b21b3d098001bf7c8,2,0,pu348kGy
62d17e24b21b3d098001bf7c9,2,0,pu348kGy
62d17e24b21b3d098001bf7c10,2,1,pu348kGy
62d17e24b21b3d098001bf7c11,2,0,pu348kGy
62d17e24b21b3d098001bf7c12,2,1,pu348kGy
62d17e24b21b3d098001bf7c13,2,0,pu348kGy
62d17e24b21b3d098001bf7c14,2,1,pu348kGy
62d17e24b21b3d098001bf7c15,2,0,pu348kGy
62d17e24b21b3d098001bf7c16,2,1,pu348kGy
62d17e24b21b3d098001bf7c17,2,1,pu348kGy
62d17e24b21b3d098001bf7c18,2,0,pu348kGy
62d17e24b21b3d098001bf7c19,2,1,pu348kGy
62d17e24b21b3d098001bf7c20,2,0,pu348kGy
62d17e24b21b3d098001bf7c21,2,1,pu348kGy
62d17e24b21b3d098001bf7c22,2,1,pu348kGy
62d17e24b21b3d098001bf7c23,2,1,pu348kGy
62d17e24b21b3d098001bf7c24,2,1,pu348kGy
62d17e24b21b3d098001bf7c25,2,1,pu348kGy
62d17e24b21b3d098001bf7c26,2,1,pu348kGy
62d17e24b21b3d098001bf7c27,2,1,pu348kGy
62d17e24b21b3d098001bf7c28,2,0,pu348kGy
62d17e24b21b3d098001bf7c29,2,0,pu348kGy
62d17e24b21b3d098001bf7c30,2,0,pu348kGy
62d17e24b21b3d098001bf7c31,2,0,pu348kGy
62d17e24b21b3d098001bf7c32,2,1,pu348kGy
62d17e24b21b3d098001bf7c33,2,0,pu348kGy
62d17e24b21b3d098001bf7c34,2,1,pu348kGy
62d17e24b21b3d098001bf7c35,2,0,pu348kGy
62d17e24b21b3d098001bf7c36,2,1,pu348kGy
62d17e24b21b3d098001bf7c37,2,0,pu348kGy
62d17e24b21b3d098001bf7c38,2,1,pu348kGy
62d17e24b21b3d098001bf7c39,2,0,pu348kGy
62d17e24b21b3d098001bf7c40,2,1,pu348kGy
62d17e24b21b3d098001bf7c41,2,1,pu348kGy
62d17e24b21b3d098001bf7c42,2,0,pu348kGy
62d17e24b21b3d098001bf7c43,2,1,pu348kGy
62d17e24b21b3d098001bf7c44,2,1,pu348kGy
62d17e24b21b3d098001bf7c45,2,0,pu348kGy
62d17e24b21b3d098001bf7c46,2,1,pu348kGy
62d17e24b21b3d098001bf7c47,2,0,pu348kGy
62d17e24b21b3d098001bf7c48,1,1,pu348kGy
62d17e24b21b3d098001bf7c49,2,1,pu348kGy
62d17e24b21b3d098001bf7c50,1,0,pu348kGy
62d17e24b21b3d098001bf7c51,1,1,pu348kGy
62d17e24b21b3d098001bf7c52,2,0,pu348kGy
62d17e24b21b3d098001bf7c53,2,1,pu348kGy
62d17e24b21b3d098001bf7c54,1,1,pu348kGy
62d17e24b21b3d098001bf7c55,2,1,pu348kGy
62d17e24b21b3d098001bf7c56,1,0,pu348kGy
62d17e24b21b3d098001bf7c57,2,1,pu348kGy
62d17e24b21b3d098001bf7c58,1,1,pu348kGy
62d17e24b21b3d098001bf7c59,2,1,pu348kGy
62d17e24b21b3d098001bf7c60,2,1,pu348kGy
62d17e24b21b3d098001bf7c61,1,0,pu348kGy
62d17e24b21b3d098001bf7c62,1,1,pu348kGy
62d17e24b21b3d098001bf7c63,2,1,pu348kGy
62d17e24b21b3d098001bf7c64,2,0,pu348kGy
62d17e24b21b3d098001bf7c65,2,1,pu348kGy
62d17e24b21b3d098001bf7c66,2,0,pu348kGy
62d17e24b21b3d098001bf7c67,2,0,pu348kGy
62d17e24b21b3d098001bf7c68,2,1,pu348kGy
62d17e24b21b3d098001bf7c69,2,1,pu348kGy
62d17e24b21b3d098001bf7c70,2,1,pu348kGy
62d17e24b21b3d098001bf7c71,2,1,pu348kGy
62d17e24b21b3d098001bf7c72,2,0,pu348kGy
62d17e24b21b3d098001bf7c73,2,1,pu348kGy
62d17e24b21b3d098001bf7c74,2,1,pu348kGy
62d17e24b21b3d098001bf7c75,2,1,pu348kGy
62d17e24b21b3d098001bf7c76,2,1,pu348kGy
62d17e24b21b3d098001bf7c77,2,1,pu348kGy
62d17e24b21b3d098001bf7c78,2,1,pu348kGy
62d17e24b21b3d098001bf7c79,2,1,pu348kGy
62d17e24b21b3d098001bf7c80,2,1,pu348kGy
62d17e24b21b3d098001bf7c81,2,1,pu348kGy
62d17e24b21b3d098001bf7c82,2,0,pu348kGy
62d17e24b21b3d098001bf7c83,1,1,pu348kGy
62d17e24b21b3d098001bf7c84,1,1,pu348kGy
62d17e24b21b3d098001bf7c85,1,1,pu348kGy
62d17e24b21b3d098001bf7c86,2,0,pu348kGy
62d17e24b21b3d098001bf7c87,2,0,pu348kGy
62d17e24b21b3d098001bf7c88,1,1,pu348kGy
62d17e24b21b3d098001bf7c89,2,1,pu348kGy
62d17e24b21b3d098001bf7c90,1,0,pu348kGy
62d17e24b21b3d098001bf7c91,1,1,pu348kGy
62d17e24b21b3d098001bf7c92,2,0,pu348kGy
62d17e24b21b3d098001bf7c93,2,1,pu348kGy
62d17e24b21b3d098001bf7c94,2,1,pu348kGy
62d17e24b21b3d098001bf7c95,1,0,pu348kGy
62d17e24b21b3d098001bf7c96,1,0,pu348kGy
62d17e24b21b3d098001bf7c97,1,1,pu348kGy
62d17e24b21b3d098001bf7c98,2,1,pu348kGy
62d17e24b21b3d098001bf7c99,2,1,pu348kGy
62d17e24b21b3d098001bf7c100,1,0,pu348kGy
62d17e24b21b3d098001bf7c101,1,1,pu348kGy
62d17e24b21b3d098001bf7c102,2,1,pu348kGy
62d17e24b21b3d098001bf7c103,1,1,pu348kGy
